dealname,lead_owner,support_owner,broad_category_updated,subcategory,fund,createdate,recommendation
Good Growth Capital - BioFlyte,Whitney Haring-Smith,,,,Fund I,2024-07-22T15:32:02.777Z,"['Biodefense', 'Pathogen Detection', 'Biosecurity']"
Brightpoint Group - EnCharge 2024 SPV,David Michael,Ittie Rehani,Software & Advanced Computing,Artificial Intelligence & Machine Learning,Fund I,2024-07-22T15:36:36.092Z,"['AI Processor Technology', 'AI Hardware', 'AI Investment Opportunities']"
SinoAm Capital Pte - EnCharge 2024 SPV,David Michael,,,,Fund I,2024-07-22T15:37:23.282Z,"['AI Processor Technology', 'Advanced Computing Hardware', 'Semiconductor Investment']"
University of Wisconsin Foundation - EnCharge 2024 SPV,David Michael,Ittie Rehani,Software & Advanced Computing,Artificial Intelligence & Machine Learning,Fund I,2024-07-22T15:38:50.009Z,"['AI Processors', 'Advanced Computing', 'Machine Learning Hardware']"
State of Washington - EnCharge 2024 SPV,David Michael,Ittie Rehani,Software & Advanced Computing,Artificial Intelligence & Machine Learning,Fund I,2024-07-22T15:39:47.487Z,"['AI Processors', 'AI Hardware', 'Machine Learning Platforms']"
Northgate Capital - EnCharge 2024 SPV,David Michael,Ittie Rehani,,,Fund I,2024-07-22T15:49:23.498Z,"['AI Processor Technology', 'Semiconductor Investment', 'AI Hardware']"
APG - EnCharge 2024 SPV,Whitney Haring-Smith,,,,Fund I,2024-07-22T15:51:10.270Z,"['Investment Co-Investment', 'Fund Commitment', 'Financial Partnership']"
Ludwig Cancer Research - EnCharge 2024 SPV,David Michael,Ittie Rehani,Life Sciences & Healthcare,Healthcare Software & Analytics,Fund I,2024-07-22T15:53:04.119Z,"['AI Processor Technology', 'Healthcare Analytics', 'Investment Opportunity']"
Morgan Creek - EnCharge 2024 SPV,David Michael,Ittie Rehani,Software & Advanced Computing,Artificial Intelligence & Machine Learning,Fund I,2024-07-22T15:54:06.953Z,"['AI Processors', 'AI Hardware', 'AI Software Solutions']"
BlackRock Private Equity Partners - EnCharge 2024 SPV,David Michael,Ittie Rehani,Software & Advanced Computing,Artificial Intelligence & Machine Learning,Fund I,2024-07-22T15:55:52.322Z,"['AI Processors', 'Industrial AI', 'AI Hardware']"
Alpha Leonis Partners - EnCharge 2024 SPV,David Michael,Ittie Rehani,Software & Advanced Computing,Artificial Intelligence & Machine Learning,Fund I,2024-07-22T15:57:16.757Z,"['AI Processors', 'AI Hardware', 'Advanced Computing Systems']"
Golden Vision Capita - EnCharge 2024 SPV,David Michael,,,,Fund I,2024-07-22T15:58:35.051Z,"['AI Processor Technology', 'Semiconductor Technology', 'AI Hardware']"
ReSource Chemical (Jul 2024),Henk Both,,Materials & Chemicals,Greenchem,Fund III,2024-07-22T17:32:21.629Z,"['Sustainable Polymers', 'Carbon-Negative Materials', 'Circular Economy Solutions']"
Fyve By,Wilson Poole,Josh Stiling,Transportation & Logistics,Aerospace,Fund III,2024-07-22T18:42:23.634Z,"['Aerospace Technology', 'Autonomous Vehicles', 'Electric Vehicle Infrastructure & Enablers']"
Thiozen (Jul 2024),Wilson Poole,Henk Both,Energy & Clean Technology,"Alternative Fuel (Hydrogen, Biofuel, etc.)",Fund III,2024-07-22T20:17:28.689Z,"['Hydrogen Production', 'Government Funded Scale-up', 'Pilot Technology Deployment']"
Enerza (Jul 2024),Josh Stiling,,Energy & Clean Technology,Grid / Building Monitoring & Analytics,Fund III,2024-07-22T20:42:20.722Z,"['Predictive Maintenance', 'Autonomous Inspection', 'Vegetation Management']"
Circuit (Jul 2024),Whitney Haring-Smith,,Transportation & Logistics,Automotive (non-autonomous vehicles),Fund III,2024-07-22T20:43:15.281Z,"['Electric Vehicle Solutions', 'Last-mile Shuttle Services', 'Sustainable Urban Mobility']"
Taqtile (Jul 2024),Josh Stiling,Henk Both,Software & Advanced Computing,Virtual & Augmented Reality,Fund III,2024-07-22T20:47:03.293Z,"['Augmented Reality Software for Industrial Workflows', 'Defense and Military Training Software', 'Enterprise AR Adoption Solutions']"
Swift Navigation (Jul 2024),Jimmy Kan,,Software & Advanced Computing,Mobility & Logistics Analytics,Fund III,2024-07-23T15:19:14.545Z,"['Automotive Positioning Technology', 'Logistics Software', 'Mobile Network Integration']"
Maple Hill Capital - Critical Tech Credit (EBITDA positive),Nick Fisher,,,,Critical Tech Credit (EBITDA positive),2024-07-23T15:41:20.432Z,"['Financial Technology', 'Investment Platforms', 'Credit Analysis Tools']"
StandardAero - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-23T15:52:59.089Z,"['Aerospace Technology', 'Critical Infrastructure', 'Aviation Technology']"
State of Michigan Investment Board (SMIB) - Insured Credit Class A,Whitney Haring-Smith,,,,Critical Tech Credit (EBITDA positive),2024-07-23T16:27:17.568Z,"['Financial Services', 'Government Investments', 'Pension Fund Management']"
FeX (Jul 2024),Henk Both,Wilson Poole,Energy & Clean Technology,Energy Storage & Batteries,Fund III,2024-07-23T16:42:08.733Z,"['Thermochemical Energy Storage', 'Iron Redox Cycle', 'Industrial Heat Applications']"
State of Wisconsin Investment Board (SWIB) - Insured Credit Class A,Whitney Haring-Smith,,,,Critical Tech Credit (EBITDA positive),2024-07-23T16:59:40.108Z,"['Financial Services', 'Investment Management', 'Credit Solutions']"
Marquette Associates - NATLF,Whitney Haring-Smith,Ittie Rehani,,,NATLF,2024-07-23T19:03:34.139Z,"['Financial Analytics', 'Investment Management Tools', 'Portfolio Management Software']"
eBliss Global (Jul 2024),Henk Both,,Transportation & Logistics,Automotive (non-autonomous vehicles),Fund III,2024-07-23T22:46:38.491Z,"['E-Bike Technology', 'Transportation Solutions', 'Automotive Technology']"
Basquevolt (Jul 2024),Josh Stiling,,Energy & Clean Technology,Energy Storage & Batteries,Fund III,2024-07-24T04:09:32.111Z,"['Solid-state Batteries', 'Automotive Battery Technology', 'Battery Manufacturing Scale-up']"
Iron-oxide nanoparticles (Jul 2024),Jimmy Kan,Josh Stiling,Life Sciences & Healthcare,Drug Delivery,Fund III,2024-07-24T13:09:17.656Z,"['Nanoparticle Manufacturing', 'Personalized Medicine', 'Non-coding RNA Delivery']"
Rellim Capital - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T13:13:26.866Z,"['Energy Storage Solutions', 'Alternative Fuel Technologies', 'Smart Grid Innovations']"
Gresham Partners LLC - NATLF,David Michael,Ittie Rehani,,,NATLF,2024-07-24T13:17:20.193Z,"['Investment Management', 'Financial Technology', 'Advisory Services']"
Green Bear Groups - NATLF,Whitney Haring-Smith,Ittie Rehani,,,NATLF,2024-07-24T13:19:48.011Z,"['Environmental Sustainability', 'Renewable Energy Solutions', 'Green Technology Innovations']"
Bank Lombard Odier & Co Ltd - NATLF,Whitney Haring-Smith,Ittie Rehani,,,NATLF,2024-07-24T13:22:22.264Z,"['Financial Services', 'Investment Banking', 'Wealth Management']"
Owl Therapeutics,Sonal Naik,Jaione Maiz,Life Sciences & Healthcare,,Fund III,2024-07-24T17:56:44.726Z,"['Gene Therapy', 'Biopharmaceuticals', 'Regenerative Medicine']"
Hugheson Sub Limited - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T21:17:18.352Z,"['Energy Storage Solutions', 'Alternative Energy Investments', 'Clean Energy Technologies']"
NMSIC - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T21:19:53.362Z,"['Energy Storage Solutions', 'Clean Energy Investments', 'Renewable Energy Technologies']"
Regents of the University of M - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T21:22:14.901Z,"['Energy Storage Solutions', 'University Research Collaboration', 'Advanced Battery Technology']"
Fox Family Portfolio II - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T21:23:18.335Z,"['Investment Portfolio Management', 'Special Purpose Vehicle (SPV)', 'Family Office Investments']"
David Seldin - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T21:24:24.065Z,"['Energy Storage Solutions', 'Battery Management Systems', 'Renewable Energy Integration']"
GPE-Anzu III LP - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T21:25:21.394Z,"['Energy Storage Solutions', 'Battery Technology', 'Renewable Energy Systems']"
Southern Methodist University - EnCharge SPV 2024,David Michael,Ittie Rehani,Other,University Collaboration,SPV,2024-07-24T21:29:02.594Z,"['University Collaboration', 'Energy Storage Solutions', 'Tech Fund Initiative']"
Zachary Julius - EnCharge SPV 2024,David Michael,Ittie Rehani,Software & Advanced Computing,"AI Hardware, Software, and Systems",SPV,2024-07-24T21:31:53.215Z,"['AI Hardware', 'AI Software', 'AI Systems']"
"Bixby Bridge Fund IV, LLC - EnCharge SPV 2024",David Michael,Ittie Rehani,,,SPV,2024-07-24T21:32:55.085Z,"['Financial Services', 'Investment Management', 'Special Purpose Vehicle']"
Clarendon Investment Partners - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T21:34:13.090Z,"['Energy Storage & Batteries', 'Smart Building / Infrastructure', 'Grid / Building Monitoring & Analytics']"
"FutureVision II, LLC - EnCharge SPV 2024",David Michael,Ittie Rehani,,,SPV,2024-07-24T21:35:34.658Z,"['Energy Storage Solutions', 'Battery Technology', 'Renewable Energy Infrastructure']"
Edward Liddy - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T21:36:33.655Z,"['Energy Storage Solutions', 'Renewable Energy Investments', 'Clean Technology Financing']"
Roger Kafker - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T21:38:23.042Z,"['Energy Storage Systems', 'Battery Management Solutions', 'Renewable Energy Investments']"
CD Financial LLC - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T21:40:07.759Z,"['Financial Services', 'Investment Management', 'Special Purpose Vehicle']"
Damon DeSantis - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T21:41:07.550Z,"['Energy Storage Solutions', 'Battery Technology', 'Renewable Energy Infrastructure']"
Qi Wang - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T21:42:22.342Z,"['Energy Storage Solutions', 'Battery Technology', 'Renewable Energy Systems']"
Thomas J. Wilson Revocable Tru - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T21:47:44.820Z,"['Energy Storage & Batteries', 'Smart Building / Infrastructure', 'Grid / Building Monitoring & Analytics']"
Tung Lin Kok Yuen - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T21:50:01.564Z,"['Energy Storage Solutions', 'Battery Technology', 'Renewable Energy Systems']"
Caroline 2007Irrevocable Trust - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T21:53:57.428Z,"['Energy Storage Solutions', 'Battery Technology', 'Renewable Energy Systems']"
Digital Factory Technologies LLC,Henk Both,Evan Kay,Software & Advanced Computing,General Software & Analytics,Fund III,2024-07-24T21:54:40.922Z,"['Industrial Automation Software', 'Manufacturing Analytics', 'Smart Factory Solutions']"
"Catalyst AICP III, LLC - EnCharge SPV 2024",David Michael,Ittie Rehani,,,SPV,2024-07-24T21:55:08.260Z,"['Energy Storage Solutions', 'Battery Technology', 'Renewable Energy Storage']"
"CST Global, LLC - EnCharge SPV 2024",Whitney Haring-Smith,Ittie Rehani,,,SPV,2024-07-24T21:56:05.297Z,"['Energy Storage Solutions', 'Battery Technology', 'Clean Energy Innovations']"
"Eagle Venture Capital II, LLC - EnCharge SPV 2024",David Michael,Ittie Rehani,,,SPV,2024-07-24T21:57:35.275Z,"['Energy Storage Solutions', 'Battery Technology', 'Renewable Energy Systems']"
"Eagle Venture Capital, LLC - EnCharge SPV 2024",David Michael,Ittie Rehani,,,SPV,2024-07-24T21:58:42.048Z,"['Energy Storage Solutions', 'Battery Technology', 'Clean Energy Investments']"
Passel Ltd. - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T21:59:42.182Z,"['Energy Storage', 'Battery Technology', 'Renewable Energy Solutions']"
The Roy Edgar Brakeman III 201 - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T22:01:20.663Z,"['Energy Storage Solutions', 'Clean Energy Investments', 'Renewable Energy Projects']"
Irrevocable Trust FBO Richard - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T22:02:25.781Z,"['Energy Storage Solutions', 'Battery Technology', 'Renewable Energy Systems']"
"Cheesemaker Partners, LLC - EnCharge SPV 2024",David Michael,Ittie Rehani,,,SPV,2024-07-24T22:03:24.907Z,"['Food Technology', 'Consumer Products', 'Agricultural Technology']"
Mark L. Hart III - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T22:04:28.785Z,"['Energy Storage Solutions', 'Battery Technology', 'Renewable Energy Systems']"
"NVNG Fund I, LP - EnCharge SPV 2024",David Michael,Ittie Rehani,,,SPV,2024-07-24T22:05:30.206Z,"['Energy Storage Solutions', 'Battery Technology', 'Renewable Energy Infrastructure']"
"FDS Family Venture 2021, LLC - EnCharge SPV 2024",David Michael,Ittie Rehani,,,SPV,2024-07-24T22:06:29.278Z,"['Energy Storage Solutions', 'Battery Technology', 'Renewable Energy Infrastructure']"
The Gregory and Dana Hartmann - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T22:07:47.145Z,"['Energy Storage Solutions', 'Battery Technology', 'Energy Management Systems']"
Hofung Holdings Limited - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T22:08:47.009Z,"['Energy Storage & Batteries', 'Smart Building / Infrastructure', 'Electric Vehicle Infrastructure & Enablers']"
Kevin Risen - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T22:09:41.778Z,"['Energy Storage Solutions', 'Battery Technology', 'Renewable Energy Systems']"
Balmoral Blue Limited - EnCharge SPV 2024,David Michael,Ittie Rehani,Energy & Clean Technology,Energy Storage & Batteries,SPV,2024-07-24T22:10:47.713Z,"['Energy Storage & Batteries', 'Alternative Fuel (Hydrogen, Biofuel, etc.)', 'Smart Building / Infrastructure']"
W Square Capital - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T22:11:53.139Z,"['Energy Storage Solutions', 'Battery Technology', 'Clean Energy Infrastructure']"
"Crypto 75, LLC - EnCharge SPV 2024",David Michael,Ittie Rehani,Software & Advanced Computing,Blockchain,SPV,2024-07-24T22:12:51.225Z,"['Cryptocurrency Solutions', 'Decentralized Finance (DeFi)', 'Digital Asset Management']"
"Deimler, Michael S. - EnCharge SPV 2024",David Michael,Ittie Rehani,Other,Other,SPV,2024-07-24T22:13:47.196Z,"['Energy Storage & Batteries', 'Electric Vehicle Infrastructure & Enablers', 'Smart Building / Infrastructure']"
Lauren E. Whitehurst Rev Trust - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T22:14:52.831Z,"['Energy Storage Solutions', 'Battery Technology', 'Energy Infrastructure']"
Rummell Investment LP - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T22:15:50.028Z,"['Energy Storage Solutions', 'Renewable Energy Investments', 'Clean Technology Infrastructure']"
TMI Shore Partnership LP - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T22:16:46.391Z,"['Battery Technology', 'Energy Storage Solutions', 'Renewable Energy Investments']"
"TPG Holdings, LLC - EnCharge SPV 2024",David Michael,Ittie Rehani,,,SPV,2024-07-24T22:17:36.993Z,"['Energy Storage Solutions', 'Alternative Energy Systems', 'Clean Technology Investment']"
Jubilee Investments LP - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T22:18:38.566Z,"['Energy Storage Solutions', 'Renewable Energy Investments', 'Clean Technology Financing']"
The Puckett Management Trust - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T22:20:14.907Z,"['Energy Storage & Batteries', 'Smart Building / Infrastructure', 'Grid / Building Monitoring & Analytics']"
Colin John Patrick Forth - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T22:21:26.492Z,"['Energy Storage & Batteries', 'Smart Building / Infrastructure', 'Grid / Building Monitoring & Analytics']"
Albrecht 2012 GS Trust - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T22:24:13.174Z,"['Energy Storage & Batteries', 'Alternative Fuel', 'Smart Building / Infrastructure']"
Ku Family Trust - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T22:25:36.253Z,"['Energy Storage Solutions', 'Investment Fund Management', 'Renewable Energy Infrastructure']"
Thomas Reichert - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T22:28:02.721Z,"['Energy Storage Solutions', 'Battery Technology', 'Renewable Energy Systems']"
Kevin Yau Kwong Ho - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T22:28:53.698Z,"['Energy Storage Solutions', 'Battery Technology', 'Renewable Energy Systems']"
ARG Trust UAD 05-02-12 - EnCharge SPV 2024,David Michael,Ittie Rehani,Other,General Investment,SPV,2024-07-24T22:29:50.152Z,"['General Investment', 'Special Purpose Vehicle', 'Financial Trust']"
HigherGround Capital LLC - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T22:30:43.964Z,"['Energy Storage Solutions', 'Renewable Energy Investments', 'Sustainable Infrastructure']"
Lucky Dogs LLC - EnCharge SPV 2024,David Michael,Ittie Rehani,Other,,SPV,2024-07-24T22:31:41.975Z,"['Pet Care Technology', 'Animal Health', 'Consumer Products']"
Satter Children's Trust - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T22:32:35.939Z,"['Investment Trust', 'Special Purpose Vehicle', 'Financial Services']"
"SFDT, LLC - EnCharge SPV 2024",David Michael,Ittie Rehani,,,SPV,2024-07-24T22:33:40.188Z,"['Energy Storage Solutions', 'Battery Technology', 'Renewable Energy Systems']"
Gerry V. Curciarello Revocable - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T22:34:39.603Z,"['Battery Technology', 'Energy Storage Solutions', 'Clean Energy Innovations']"
Jeffrey and Judy Henley 1989 - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T22:35:35.646Z,"['Energy Storage Solutions', 'Battery Technology', 'Renewable Energy Investments']"
John J. Sabl - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T22:36:46.523Z,"['Energy Storage Solutions', 'Battery Technology', 'Clean Energy Innovations']"
Mark A. Angelson - EnCharge SPV 2024,David Michael,Ittie Rehani,,,SPV,2024-07-24T22:38:05.636Z,"['Energy Storage Solutions', 'Battery Technologies', 'Renewable Energy Investments']"
Spring Bay - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-24T23:28:21.356Z,"['Critical Technologies', 'Equity Investment', 'Technology Equity']"
APG Asset Management - EnCharge 2024 SPV,Ittie Rehani,Whitney Haring-Smith,Electronics,Artificial Intelligence & Machine Learning,Fund III,2024-07-25T00:44:23.435Z,"['AI Processor', 'Co-investment Opportunity', 'Time-sensitive Investment']"
Lehigh University - EnCharge 2024 SPV,Ittie Rehani,N/A,Energy & Clean Technology,Energy Storage & Batteries,Fund III,2024-07-25T00:45:50.355Z,"['Energy Transition', 'AI Processor Technology', 'Direct Investment Opportunities']"
4IR Solutions (Jul 2024),Henk Both,,Manufacturing,Materials Manufacturing Platform,Fund III,2024-07-25T14:16:19.603Z,"['Industrial Process Control', 'Spectroscopic Systems', 'AI-Powered Data Analytics']"
Gigantor (Jul 2024),Jimmy Kan,,Electronics,Electronic Equipment & Instrumentation - General,Fund III,2024-07-25T18:03:40.904Z,"['Artificial Intelligence Hardware', 'Edge AI Devices', 'AI Chip Manufacturing']"
Icahn Enterprises L.P. - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T19:22:18.503Z,"['Industrial Automation', 'Critical Infrastructure', 'Advanced Manufacturing']"
American Securities - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T19:24:43.020Z,"['Critical Infrastructure', 'Advanced Security Technologies', 'Equity Investment']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:40:05.405Z,"['Critical Technologies', 'Equity Investments', 'Technology Innovations']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.164Z,"['Critical Technologies', 'Equity Investment', 'Technology Partnerships']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.264Z,"['Critical Technologies', 'Equity Investment', 'Technology Ventures']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.280Z,"['Critical Technologies', 'Equity Investments', 'Tech Ventures']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.281Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.285Z,"['Critical Technology', 'Equity Investment', 'Technology Partnership']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.331Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.359Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.364Z,"['Advanced Manufacturing', 'Critical Infrastructure', 'Emerging Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.368Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.384Z,"['Critical Technologies', 'Equity Investment', 'Technology Ventures']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.391Z,"['Critical Technologies', 'Equity Investments', 'Industrial Technology']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.396Z,"['Critical Technologies', 'Advanced Computing', 'Equity Investments']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.425Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.429Z,"['Critical Technologies', 'Equity Investments', 'Industrial Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.430Z,"['Critical Technologies', 'Equity Investment', 'Technology Equity']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.433Z,"['Advanced Manufacturing', 'Critical Infrastructure', 'High-Tech Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.433Z,"['Critical Infrastructure', 'Advanced Technologies', 'Equity Investment']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.438Z,"['Critical Technologies', 'Equity Investments', 'Advanced Computing']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.439Z,"['Critical Technologies', 'Equity Investment', 'Principal Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.442Z,"['Critical Technologies', 'Equity Investments', 'Principal Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.446Z,"['Critical Technologies Investment', 'Equity Funding', 'Tech Equity']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.448Z,"['Critical Technologies', 'Equity Investment', 'Industrial Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.450Z,"['Critical Technologies', 'Equity Investment', 'Technology Innovations']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.451Z,"['Advanced Manufacturing', 'Critical Technologies', 'Equity Investment']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.451Z,"['Advanced Computing', 'Critical Technologies', 'Equity Management']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.452Z,"['Advanced Computing', 'Critical Technologies', 'Technology Equity']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.456Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.467Z,"['Critical Technologies', 'Equity Investment', 'Technology Ventures']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.467Z,"['Critical Technologies', 'Equity Investments', 'Industrial Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.480Z,"['Critical Technologies', 'Equity Investment', 'Principal Investment']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.489Z,"['Critical Technologies', 'Equity Investments', 'Advanced Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.492Z,"['Critical Technologies', 'Equity Investments', 'Industrial Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.494Z,"['Advanced Manufacturing', 'Critical Infrastructure', 'Tech Equity Investments']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.494Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.501Z,"['Critical Technologies', 'Equity Investment', 'Technology Ventures']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.501Z,"['Advanced Manufacturing', 'Critical Infrastructure', 'High-Tech Investments']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.522Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.523Z,"['Critical Technologies', 'Equity Investment', 'Principal Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.524Z,"['Advanced Computing', 'Critical Technologies', 'Equity Investment']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.536Z,"['Advanced Manufacturing', 'Critical Infrastructure', 'Industrial Automation']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.538Z,"['Industrial Automation', 'Quantum Computing', 'Robotics & Automation']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.539Z,"['Advanced Manufacturing', 'Critical Technologies', 'Equity Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.542Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.543Z,"['Industrial Automation & Analytics', 'Critical Technologies', 'Equity Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.549Z,"['Critical Technologies', 'Equity Investment', 'Technology Ventures']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.550Z,"['Critical Technologies', 'Equity Investments', 'Principal Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.553Z,"['Advanced Computing', 'Critical Technologies', 'Equity Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.553Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.554Z,"['Critical Technologies', 'Equity Investment', 'Principal Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.555Z,"['Critical Technologies', 'Equity Investment', 'Advanced Computing']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:06.564Z,"['Advanced Manufacturing Technologies', 'Critical Infrastructure Protection', 'Industrial Cybersecurity']"
